Date,Temp,Load
20130706,87.08000000000001,2.5236370000000004
20130707,78.08000000000001,2.091146
20130708,82.94,2.491123
20130709,82.94,2.47258
20130710,84.02,2.507629
20130711,75.92,2.1304760000000003
20130712,75.02,2.015616
20130713,80.96000000000001,2.153225
20130714,86.0,2.513446
20130715,87.98,2.828678
20130716,89.96000000000001,2.86847
20130717,87.08000000000001,2.818386
20130718,91.03999999999999,2.951464
20130719,91.03999999999999,2.896728
20130720,80.96000000000001,2.360727
20130721,84.02,2.347601
20130722,78.08000000000001,2.3483850000000004
20130723,82.03999999999999,2.456317
20130724,71.06,1.969756
20130725,75.92,1.957845
20130726,78.98,2.134293
20130727,73.94,1.749356
20130728,73.03999999999999,1.802307
20130729,73.94,1.9580229999999998
20130730,77.0,2.02507
20130731,75.02,2.0845160000000003
20130801,80.06,2.2352950000000003
20130802,75.02,2.056179
20130803,78.08000000000001,1.903684
20130804,73.94,1.724919
20130805,71.96000000000001,1.973921
20130806,80.06,2.1507840000000003
20130807,82.94,2.3345160000000003
20130808,84.02,2.556422
20130809,77.0,2.241833
20130810,80.96000000000001,2.067876
20130811,82.03999999999999,2.1068789999999997
20130812,82.03999999999999,2.45086
20130813,78.98,2.232658
20130814,69.08000000000001,1.784972
20130815,73.03999999999999,1.8608399999999998
20130816,77.0,1.971128
20130817,78.08000000000001,1.793871
20130818,71.96000000000001,1.7299390000000001
20130819,78.08000000000001,2.133679
20130820,82.03999999999999,2.249791
20130821,82.94,2.429292
20130822,82.03999999999999,2.4136170000000003
20130823,82.03999999999999,2.269092
20130824,78.98,1.998815
20130825,82.03999999999999,2.0775189999999997
20130826,84.02,2.476336
20130827,80.96000000000001,2.420873
20130828,82.94,2.285445
20130829,84.92,2.5776350000000003
20130830,86.0,2.605339
20130831,84.92,2.367975
20130901,78.98,2.005897
20130902,84.92,2.367383
20130903,71.06,1.9532909999999999
20130904,75.92,2.023831
20130905,73.94,1.9765039999999998
20130906,73.03999999999999,1.820878
20130907,78.98,1.704812
20130908,80.06,1.943339
20130909,82.03999999999999,2.2193400000000003
20130910,89.96000000000001,2.819169
20130911,87.98,2.627643
20130912,75.92,2.221656
20130913,66.02,1.847587
20130914,64.94,1.56488
20130915,69.08000000000001,1.577299
20130916,69.08000000000001,1.8375029999999999
20130917,68.0,1.776315
20130918,73.03999999999999,1.8408699999999998
20130919,75.92,2.005065
20130920,78.08000000000001,2.1067739999999997
20130921,69.08000000000001,1.7198
20130922,60.08,1.554213
20130923,57.019999999999996,1.645237
20130924,69.08000000000001,1.678021
20130925,73.94,1.739529
20130926,75.02,1.78754
20130927,73.03999999999999,1.7978669999999999
20130928,71.96000000000001,1.577925
20130929,71.96000000000001,1.683208
20130930,69.98,1.821361
20131001,75.92,1.894013
20131002,80.06,2.0635630000000003
20131003,78.08000000000001,2.043521
20131004,80.06,2.1084609999999997
20131005,80.96000000000001,1.8805589999999999
20131006,84.02,2.029292
20131007,73.94,1.720827
20131008,66.02,1.693165
20131009,69.08000000000001,1.709338
20131010,71.06,1.718366
20131011,64.94,1.696021
20131012,71.96000000000001,1.633323
20131013,71.06,1.636682
20131014,64.03999999999999,1.728605
20131015,71.06,1.7751949999999999
20131016,64.94,1.766113
20131017,60.980000000000004,1.726652
20131018,62.06,1.680818
20131019,55.040000000000006,1.574834
20131020,57.92,1.57617
20131021,64.94,1.729166
20131022,59.0,1.683048
20131023,44.06,1.765786
20131024,46.04,1.77601
20131025,44.96,1.800185
20131026,48.019999999999996,1.640904
20131027,50.0,1.649132
20131028,57.92,1.7827950000000001
20131029,57.92,1.759358
20131030,62.06,1.769013
20131031,66.92,1.7760719999999999
20131101,69.08000000000001,1.661939
20131102,55.040000000000006,1.589273
20131103,48.019999999999996,1.605498
20131104,44.96,1.828964
20131105,57.019999999999996,1.804351
20131106,71.06,1.826463
20131107,57.92,1.8474190000000001
20131108,42.980000000000004,1.786274
20131109,57.019999999999996,1.6284020000000001
20131110,53.06,1.712082
20131111,48.019999999999996,1.797409
20131112,33.98,1.9529079999999999
20131113,35.96,1.975411
20131114,48.019999999999996,1.9054570000000002
20131115,55.040000000000006,1.77766
20131116,60.08,1.596902
20131117,62.96,1.636749
20131118,60.08,1.802402
20131119,39.019999999999996,1.8753389999999999
20131120,48.019999999999996,1.8803320000000001
20131121,53.06,1.829442
20131122,53.06,1.789765
20131123,37.04,1.781248
20131124,24.08,1.9019030000000001
20131125,37.04,1.98485
20131126,35.06,1.99698
20131127,33.08,2.011811
20131128,28.94,1.747603
20131129,33.98,1.8371849999999998
20131130,39.019999999999996,1.760621
20131201,42.980000000000004,1.742517
20131202,44.96,1.8497190000000001
20131203,53.06,1.858767
20131204,57.92,1.8361310000000002
20131205,60.980000000000004,1.87921
20131206,39.019999999999996,1.970804
20131207,28.94,1.84923
20131208,30.02,1.958149
20131209,37.94,2.035355
20131210,30.02,2.1043960000000004
20131211,30.02,2.091715
20131212,21.92,2.198135
20131213,33.98,1.997048
20131214,35.06,1.938255
20131215,37.94,2.006666
20131216,24.98,2.127351
20131217,33.98,2.04847
20131218,28.94,2.085811
20131219,50.0,1.913989
20131220,55.040000000000006,1.844971
20131221,62.06,1.709501
20131222,68.0,1.6829649999999998
20131223,51.980000000000004,1.901389
